[2025-02-10 11:10:03,359] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:10:03,359] INFO in main: 应用启动成功
[2025-02-10 11:10:07,238] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:10:07,294] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:10:08,912] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:10:08,912] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:10:08,913] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:10:08,913] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:10:08,914] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:10:28,689] INFO in main: 应用关闭
[2025-02-10 11:11:01,962] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:11:01,962] INFO in main: 应用启动成功
[2025-02-10 11:11:05,317] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:11:05,379] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:11:07,027] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:11:07,028] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:11:07,028] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:11:07,028] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:11:07,029] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:11:19,524] INFO in main: 应用关闭
[2025-02-10 11:11:20,500] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:11:20,500] INFO in main: 应用启动成功
[2025-02-10 11:11:22,022] INFO in main: 应用关闭
[2025-02-10 11:11:24,245] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:11:24,245] INFO in main: 应用启动成功
[2025-02-10 11:11:34,342] INFO in response: 请求处理完成 - 路径: / 方法: GET 处理时间: 0.00s
[2025-02-10 11:12:01,776] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:12:05,318] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.02s
[2025-02-10 11:12:16,308] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:12:16,309] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:12:16,309] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:12:16,309] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:12:16,310] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:12:25,588] INFO in main: 应用关闭
[2025-02-10 11:12:56,229] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:12:56,229] INFO in main: 应用启动成功
[2025-02-10 11:13:02,267] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:13:02,382] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:13:07,720] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:13:07,721] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:13:07,721] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:13:07,722] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:13:07,722] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:13:19,274] INFO in main: 应用关闭
[2025-02-10 11:13:55,728] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:13:55,729] INFO in main: 应用启动成功
[2025-02-10 11:13:58,399] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:13:58,470] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
